normalized,total_count,num_variants,variants_with_counts
llama_3.1_70b_instruct,97,11,Llama-3.1-70B-Instruct (57); Llama3.1-70B-Instruct (15); LLaMA-3.1-70B-Instruct (13); Llama-3.1-70B-instruct (3); LLaMA3.1-70B-Instruct (2); Llama 3.1 70B Instruct (2); LLAMA-3.1-70B-INSTRUCT (1); LLaMA 3.1 70B Instruct (1); Llama 3.1-70B-Instruct (1); Llama-3.1-70b-Instruct (1); llama3.1-70b-instruct (1)
gpt_2_large,97,9,GPT-2-large (32); GPT-2 Large (29); GPT2-large (10); GPT-2 large (9); GPT-2-Large (8); GPT2-Large (6); GPT-2 LARGE (1); GPT2-LARGE (1); gpt2-large (1)
qwen_2.5_72b,97,5,Qwen2.5-72B (66); Qwen-2.5-72B (22); Qwen 2.5 72B (7); Qwen 2.5-72B (1); Qwen2.5-72b (1)
vicuna,95,2,Vicuna (94); VICUNA (1)
mixtral_8x_7b,92,6,Mixtral-8x7B (71); Mixtral 8x7B (15); Mixtral-8x7b (3); MIXTRAL-8X7B (1); Mixtral 8X7B (1); mixtral-8x7B (1)
llama_3.2_3b,91,13,Llama-3.2-3B (44); Llama3.2-3B (16); LLaMA-3.2-3B (11); LLaMA3.2-3B (4); Llama 3.2 3B (3); Llama 3.2-3B (3); LLAMA-3.2-3B (2); Llama-3.2 3B (2); Llama3.2 3B (2); LLaMA 3.2 3B (1); LLaMA 3.2-3B (1); LLaMA-3.2 (3B) (1); LLaMA3.2 3B (1)
qwen_2.5_72b_instruct,90,6,Qwen2.5-72B-Instruct (76); Qwen-2.5-72B-Instruct (10); Qwen 2.5 72B Instruct (1); Qwen-2.5 72B-Instruct (1); Qwen2.5-72B-instruct (1); Qwen2.5-72b-Instruct (1)
vicuna_13b,89,5,Vicuna-13B (70); Vicuna-13b (11); Vicuna (13B) (3); Vicuna 13B (3); VICUNA-13B (2)
llama_3_70b_instruct,87,14,Llama-3-70B-Instruct (42); Llama3-70B-Instruct (14); LLaMA-3-70B-Instruct (9); Llama 3 70B Instruct (3); Llama-3-70b-Instruct (3); LLaMA-3-70b-instruct (2); LLaMA3-70B-Instruct (2); Llama-3 70B Instruct (2); Llama-3-70B-instruct (2); Llama-3-70b-instruct (2); Llama3-70B-instruct (2); Llama3-70b-instruct (2); LLAMA-3-70B-INSTRUCT (1); Llama 3-70B-Instruct (1)
transformer_base,87,9,Transformer-base (43); Transformer-Base (13); Transformer base (11); Transformer Base (10); Transformer-BASE (5); transformer-base (2); TRANSFORMER-BASE (1); Transformer BASE (1); transformer-BASE (1)
mbart,86,4,mBART (83); MBart (1); Multilingual BART (mBART) (1); REWRITE (mBART) (1)
