normalized,total_count,num_variants,variants_with_counts
pointer_generator_network,10,4,Pointer Generator Network (4); Pointer-Generator Network (4); Pointer-generator network (1); pointer-generator network (1)
qwen_2_vl_2b,10,4,Qwen2-VL-2B (7); QWEN2-VL-2B (1); Qwen2-VL-2b (1); Qwen2-vl-2B (1)
bertabs,10,3,BertAbs (6); BERTAbs (3); BertABS (1)
bloom_7b,10,3,BLOOM-7B (8); BLOOM (7B) (1); BLOOM 7B (1)
clip_vit_l_14,10,3,CLIP ViT-L/14 (7); CLIP-ViT-L/14 (2); CLIP ViT/L-14 (1)
gcn,10,3,GCN (8); Graph Convolutional Network (GCN) (1); Neural planner (GCN) (1)
gpt_neox_20b,10,3,GPT-NeoX-20B (8); GPT-NEOX-20B (1); GPT-NeoX 20B (1)
llama_3.2_11b_vision,10,3,Llama-3.2-11B-Vision (7); LLaMA-3.2-11B-Vision (2); Llama 3.2-11B Vision (1)
mistral_instruct,10,3,Mistral-Instruct (7); Mistral Instruct (2); Mistral-instruct (1)
qwen_2.5_0.5b_instruct,10,3,Qwen2.5-0.5B-Instruct (8); Qwen-2.5-0.5B-Instruct (1); SpeechLLM (Qwen2.5-0.5B-Instruct) (1)
tapex,10,3,TAPEX (8); TaPEx (1); TapEx (1)
tf_idf,10,3,TF-IDF (7); tf-idf (2); Q-retrieval (TF-IDF) (1)
xlm_roberta_base,10,3,XLM-RoBERTa-base (7); XLM-RoBERTa-Base (2); XLM-Roberta base (1)
alpaca_13b,10,2,Alpaca-13B (9); Alpaca 13B (1)
baichuan_2_7b_chat,10,2,Baichuan2-7B-Chat (9); Baichuan-2-7B-chat (1)
bartscore,10,2,BARTScore (9); BARTSCORE (1)
chatglm_6b,10,2,ChatGLM-6B (9); ChatGLM-6b (1)
glat,10,2,GLAT (9); Glancing Transformer (GLAT) (1)
gpt_3_175b,10,2,GPT-3 (175B) (5); GPT-3-175B (5)
m_bert,10,2,M-BERT (9); m-BERT (1)
mistral_7b_v_0.2,10,2,Mistral-7B-v0.2 (9); Mistral 7B v0.2 (1)
mistral_nemo_instruct_2407,10,2,Mistral-Nemo-Instruct-2407 (9); Mistral-NeMo-Instruct-2407 (1)
mma,10,2,MMA (9); Monotonic Multi-head Attention (MMA) (1)
mt_5_xxl,10,2,mT5-XXL (7); mT5-xxl (3)
paligemma,10,2,PaliGemma (8); Paligemma (2)
qwen_2.5_math_7b,10,2,Qwen2.5-Math-7B (9); Qwen-2.5-Math-7B (1)
resnet_101,10,2,ResNet-101 (8); ResNet101 (2)
resnet_50,10,2,ResNet-50 (9); ResNet50 (1)
llama_2_13b_chat_hf,9,7,Llama-2-13b-chat-hf (3); LLaMA-2-13B-chat-hf (1); LLaMA-2-13b-chat-hf (1); Llama-2-13B-Chat-HF (1); Llama-2-13B-chat-hf (1); Llama2-13B-chat-hf (1); llama2-13b-chat-hf (1)
bertsumabs,9,5,BERTSUMABS (4); BERTSumAbs (2); BERTSUMAbs (1); BertSumABS (1); BertSumAbs (1)
flan_t_5_small,9,5,Flan-T5-Small (3); Flan-T5-small (3); FLAN-T5-Small (1); FLAN-T5-small (1); Flan-T5 Small (1)
vicuna_v_1.5_7b,9,5,Vicuna-v1.5-7B (5); Vicuna v1.5 7B (1); Vicuna v1.5-7B (1); Vicuna-V1.5-7B (1); Vicuna-v1.5-7b (1)
davinci_002,9,4,Davinci-002 (3); GPT-3 (davinci-002) (3); davinci-002 (2); DaVinci-002 (1)
gemini_2.0_flash_thinking,9,4,Gemini-2.0-Flash-Thinking (4); Gemini 2.0 Flash Thinking (3); Gemini-2.0 Flash Thinking (1); Gemini2.0-Flash-Thinking (1)
llama_1_7b,9,4,Llama-1-7B (4); LLaMA-1-7B (3); LLaMA-1 (7B) (1); Llama-1-7b (1)
llama_3.2_11b,9,4,Llama-3.2-11B (5); LLaMA-3.2-11B (2); Llama-3.2 11B (1); Llama3.2-11B (1)
llama_3_1b,9,4,Llama3-1B (3); LLaMA-3-1B (2); Llama 3 1B (2); Llama-3-1B (2)
mistral_v_0.3_7b,9,4,Mistral-v0.3-7B (4); Mistral v0.3 7B (3); Mistral v0.3-7B (1); Mistral-v0.3 7B (1)
qwen_1.5_14b_chat,9,4,Qwen1.5-14B-Chat (6); Qwen-1.5-14B-Chat (1); Qwen-1.5-14B-chat (1); Qwen1.5-14B-chat (1)
catseq,9,3,catSeq (5); CatSeq (3); CATSEQ (1)
copycat,9,3,CopyCat (4); COPYCAT (3); Copycat (2)
ctrlsum,9,3,CTRLSum (5); CTRLSUM (2); CTRLsum (2)
deepseek_v_2,9,3,DeepSeek-V2 (6); DeepSeek-v2 (2); DeepSeek V2 (1)
ft,9,3,FT (7); GPT-4o (FT) (1); entire-model fine-tuning (FT) (1)
gpt_3_curie,9,3,GPT-3 Curie (4); GPT-3-Curie (3); GPT-3-curie (2)
nllb_3.3b,9,3,NLLB-3.3B (7); NLLB (3.3B) (1); NLLB 3.3B (1)
palm_540b,9,3,PaLM 540B (4); PaLM-540B (4); PaLM-540b (1)
pythia_12b,9,3,Pythia-12B (5); Pythia 12B (3); Pythia-12b (1)
qwen_1.5_1.8b,9,3,Qwen1.5-1.8B (7); Qwen 1.5 (1.8B) (1); Qwen-1.5-1.8B (1)
transformer_small,9,3,Transformer-small (5); Transformer-Small (3); Transformer small (1)
unmt,9,3,UNMT (7); Unsupervised NMT (UNMT) (1); Unsupervised Neural Machine Translation (UNMT) (1)
adapter,9,2,Adapter (8); adapter-based fine-tuning (Adapter) (1)
dall_e_3,9,2,DALL-E-3 (5); DALL-E 3 (4)
deepseek_math_7b,9,2,DeepSeek-Math-7B (8); Deepseek-Math-7B (1)
gemini_2.0,9,2,Gemini-2.0 (5); Gemini 2.0 (4)
git,9,2,GIT (7); GiT (2)
gpt_4_1106_preview,9,2,GPT-4-1106-Preview (6); GPT-4-1106-preview (3)
internlm_2.5_7b,9,2,InternLM2.5-7B (6); InternLM-2.5-7B (3)
lead,9,2,LEAD (7); Lead (2)
llava_v_1.5_13b,9,2,LLaVA-v1.5-13B (8); LLaVA-V1.5-13B (1)
llava_video,9,2,LLaVA-Video (8); LLaVA-video (1)
mistral_8x_7b,9,2,Mistral-8x7B (8); Mistral 8x7B (1)
mplug_owl_3,9,2,mPLUG-Owl3 (8); mPlug-Owl3 (1)
nllb_200_3.3b,9,2,NLLB-200-3.3B (7); NLLB-200 3.3B (2)
prism,9,2,PRISM (7); Prism (2)
pythia_160m,9,2,Pythia-160M (8); Pythia-160m (1)
salmonn,9,2,SALMONN (8); Salmonn (1)
summarunner,9,2,SummaRuNNer (8); SUMMARUNNER (1)
yi_1.5_9b_chat,9,2,Yi-1.5-9B-Chat (8); Yi-1.5-9B-chat (1)
bertsumextabs,8,5,BERTSUMEXTABS (3); BertSumExtAbs (2); BERTSUMExtAbs (1); BERTSumExtAbs (1); BertSumextabs (1)
davinci,8,5,Davinci (3); GPT-3 (davinci) (2); GPT-3 (davinci) for silver knowledge (1); InstructGPT (davinci) (1); davinci (1)
llama_3_8b_base,8,5,Llama3-8B-Base (3); LLaMA3-8B-Base (2); LLaMA-3-8B-Base (1); LLaMA-3-8b-base (1); Llama 3 8B Base (1)
mistral_instruct_7b,8,5,Mistral-Instruct-7B (4); Mistral Instruct 7B (1); Mistral-Instruct (7B) (1); Mistral-Instruct-7b (1); Mistral-instruct (7B) (1)
gpt_4_0125_preview,8,4,GPT-4-0125-preview (4); GPT-4-0125-Preview (2); GPT-4-0125-PREVIEW (1); gpt-4-0125-preview (1)
llama_3_7b,8,4,LLaMA3-7B (3); Llama3-7B (3); LLaMA-3-7B (1); Llama 3 7B (1)
phi_3_mini_128k_instruct,8,4,Phi-3-mini-128k-instruct (4); Phi-3-Mini-128K-Instruct (2); PHI-3-mini-128k-instruct (1); Phi-3-Mini-128k-Instruct (1)
whisper_large_v_2,8,4,Whisper-large-v2 (5); Whisper LARGE-V2 (1); Whisper-Large-V2 (1); Whisper-Large-v2 (1)
claude_sonnet_3.5,8,3,Claude Sonnet 3.5 (5); Claude-Sonnet-3.5 (2); Claude-sonnet-3.5 (1)
deberta_v_3,8,3,DeBERTa-v3 (6); DeBERTa v3 (1); DeBERTa-V3 (1)
gemma_3,8,3,Gemma-3 (4); Gemma 3 (3); Gemma3 (1)
glm_4v_9b,8,3,GLM-4V-9B (6); GLM-4V-9b (1); GLM-4v-9B (1)
gpt_3.5_turbo_0301,8,3,GPT-3.5-turbo-0301 (5); GPT-3.5-Turbo-0301 (2); gpt-3.5-turbo-0301 (1)
internlm_2,8,3,InternLM2 (6); InternLM 2 (1); InternLM-2 (1)
internlm_2_7b,8,3,InternLM2-7B (6); InternLM-2-7B (1); internlm2-7b (1)
mistral_large_2,8,3,Mistral-Large-2 (4); Mistral Large 2 (3); Mistral-Large2 (1)
phi_3_mini_4k_instruct,8,3,Phi-3-mini-4k-instruct (6); Phi-3-Mini-4k-Instruct (1); Phi-3-mini-4k-Instruct (1)
pythia_1b,8,3,Pythia-1B (6); Pythia 1B (1); Pythia-1b (1)
transformer_large,8,3,Transformer-large (6); Transformer-Large (1); transformer-large (1)
word_2vec,8,3,Word2Vec (4); word2vec (3); WORD2VEC (1)
copynet,8,2,CopyNet (7); Pointer Generator (COPYNET) (1)
deepseek_coder_6.7b,8,2,DeepSeek-Coder-6.7B (7); DeepSeek Coder 6.7B (1)
dpo,8,2,DPO (7); Direct Preference Optimization (DPO) (1)
ewc,8,2,EWC (4); Elastic Weight Consolidation (EWC) (4)
flan_palm,8,2,Flan-PaLM (7); FLAN-PaLM (1)
fusion,8,2,Fusion (7); FUSION (1)
genie,8,2,GenIE (5); GENIE (3)
gpt_4o_mini_2024_07_18,8,2,GPT-4o-mini-2024-07-18 (7); GPT-4o-Mini-2024-07-18 (1)
jais,8,2,JAIS (4); Jais (4)
llama_3.2_vision,8,2,Llama-3.2-Vision (7); LLaMA-3.2-Vision (1)
llava_13b,8,2,LLaVA-13B (6); LLaVA-13b (2)
meansum,8,2,MeanSum (6); MEANSUM (2)
openchat_3.5,8,2,OpenChat-3.5 (7); OpenChat 3.5 (1)
qwen_2.5_math_7b_instruct,8,2,Qwen2.5-Math-7B-Instruct (7); Qwen2.5-math-7B-instruct (1)
qwen_2.5_vl_3b,8,2,Qwen2.5-VL-3B (7); Qwen 2.5 VL (3B) (1)
qwen_plus,8,2,Qwen-Plus (7); Qwen-plus (1)
spanbert,8,2,SpanBERT (7); Coreference Model (SpanBERT) (1)
transformer_based_encoder_decoder,8,2,Transformer-based encoder-decoder (7); transformer-based encoder-decoder (1)
transformer_nmt,8,2,Transformer NMT (7); Transformer-NMT (1)
vicuna_33b_v_1.3,8,2,Vicuna-33B-v1.3 (7); Vicuna-33b-v1.3 (1)
wizardlm_13b,8,2,WizardLM-13B (7); WizardLM-13b (1)
yi_34b,8,2,Yi-34B (6); Yi-34b (2)
gemma_2b_it,7,6,Gemma-2B-It (2); Gemma 2B IT (1); Gemma-2B-IT (1); Gemma-2B-it (1); Gemma-2b-it (1); gemma-2b-it (1)
gemma_2_2b_instruct,7,5,Gemma 2 2B Instruct (2); Gemma2 2B Instruct (2); Gemma-2-2B-Instruct (1); Gemma2 2B-Instruct (1); Gemma2-2B-Instruct (1)
gemma_3_27b_it,7,5,Gemma-3-27B-IT (3); GEMMA-3-27B-IT (1); Gemma-3-27B-it (1); Gemma-3-27b-It (1); Gemma3-27B-it (1)
llama_3.1_instruct,7,5,LLaMA-3.1-Instruct (2); Llama-3.1-Instruct (2); LLaMA 3.1-Instruct (1); LLaMA-3.1-INSTRUCT (1); Llama 3.1 Instruct (1)
aya_expanse_32b,7,4,Aya-Expanse-32B (3); Aya Expanse 32B (2); AYA-EXPANSE-32B (1); Aya Expanse-32B (1)
bloomz_7b,7,4,BLOOMZ-7B (3); BloomZ-7B (2); BLOOMz-7B (1); Bloomz-7B (1)
chatglm_3_6b_32k,7,4,ChatGLM3-6B-32K (3); ChatGLM3-6B-32k (2); ChatGLM3-6b-32k (1); chatglm3-6b-32k (1)
llama_1,7,4,LLaMA-1 (2); Llama-1 (2); Llama1 (2); Llama 1 (1)
llama_3_70b_chat,7,4,Llama-3-70B-Chat (4); LLAMA-3-70B-CHAT (1); LLaMA3-70B-Chat (1); Llama3-70B-chat (1)
llama_3b,7,4,LLaMA-3B (2); Llama 3B (2); Llama-3B (2); LLaMA 3B (1)
lstm_seq_2seq,7,4,LSTM seq2seq (4); Dual Encoder (LSTM seq2seq) (1); LSTM Seq2Seq (1); LSTM Seq2seq (1)
m_2m_100_418m,7,4,m2m100_418M (3); M2M-100 (418M) (2); M2M100 418M (1); M2M100-418M (1)
meditron_7b,7,4,Meditron-7B (3); MEDITRON-7B (2); MediTron-7B (1); Meditron-7b (1)
phi_4_14b,7,4,Phi-4-14B (4); Phi 4 14B (1); Phi-4 14B (1); Phi4-14B (1)
prefix_tuning,7,4,Prefix-tuning (3); Prefix-Tuning (2); Prefix Tuning (1); prefix-tuning (1)
qwen_3_235b_a_22b,7,4,Qwen3-235B-A22B (4); QWEN3-235B-A22B (1); Qwen3 235B A22B (1); Qwen3-235b-a22b (1)
starcoder_2_7b,7,4,StarCoder2-7B (4); StarCoder2 7B (1); Starcoder-2-7B (1); Starcoder2-7B (1)
baseline,7,3,Baseline (5); Classical log-linear model (baseline) (1); Classical multinomial model (baseline) (1)
codellama_7b_instruct,7,3,CodeLLaMA-7B-Instruct (3); CodeLlama-7B-Instruct (3); CodeLlama-7b-Instruct (1)
gemini_pro_vision,7,3,Gemini Pro Vision (3); Gemini-Pro-Vision (3); Gemini-Pro Vision (1)
gpt_2_1.5b,7,3,GPT-2 (1.5B) (4); GPT-2-1.5B (2); GPT2-1.5B (1)
gpt_3_babbage,7,3,GPT-3 Babbage (4); GPT-3-babbage (2); GPT-3-Babbage (1)
instructblip_7b,7,3,InstructBLIP-7B (5); InstructBLIP-7b (1); InstructBlip-7B (1)
internvl_2.5_38b,7,3,InternVL2.5-38B (5); InternVL2.5-38b (1); Internvl2.5-38b (1)
internvl_2.5_78b,7,3,InternVL2.5-78B (5); InternVL-2.5-78B (1); InternVL2.5-78b (1)
llama_1b,7,3,LLaMA-1B (3); Llama 1B (2); Llama-1B (2)
ptgen,7,3,PTGEN (5); PTGen (1); PtGen (1)
qwen_2.5_coder_32b,7,3,Qwen2.5-Coder-32B (5); Qwen 2.5 Coder 32B (1); Qwen-2.5-Coder-32B (1)
salmonn_7b,7,3,SALMONN-7B (5); SALMONN-7b (1); Salmonn-7B (1)
sequence_to_sequence,7,3,Sequence-to-Sequence (5); Sequence to Sequence (1); sequence-to-sequence (1)
siglip,7,3,SigLIP (5); SigLip (1); sigLIP (1)
vicuna_1.5_7b,7,3,Vicuna-1.5-7B (5); Vicuna1.5 7B (1); Vicuna1.5-7B (1)
vicuna_7b_v_1.5_16k,7,3,Vicuna-7B-v1.5-16K (3); Vicuna-7B-v1.5-16k (3); Vicuna-7b-v1.5-16k (1)
access,7,2,ACCESS (6); Access (1)
aya_101,7,2,Aya-101 (6); AYA-101 (1)
centroid,7,2,Centroid (6); CENTROID (1)
claude_sonnet_4,7,2,Claude Sonnet 4 (5); Claude-Sonnet-4 (2)
clipcap,7,2,ClipCap (6); CLIPCap (1)
deepseek_7b,7,2,DeepSeek-7B (6); DeepSeek 7B (1)
deepseek_coder_33b,7,2,DeepSeek-Coder-33B (6); Deepseek-Coder-33B (1)
deepseek_v_3_0324,7,2,DeepSeek-V3-0324 (6); DeepSeek-v3-0324 (1)
flant_5_xl,7,2,FlanT5-XL (6); FlanT5-xl (1)
internlm_7b,7,2,InternLM-7B (6); InternLM-7b (1)
kosmos_2,7,2,Kosmos-2 (6); KOSMOS-2 (1)
llama_33b,7,2,LLaMA-33B (6); Llama-33B (1)
llava_1.6,7,2,LLaVA-1.6 (6); LLaVA 1.6 (1)
llava_ov,7,2,LLaVA-OV (6); LLaVa-OV (1)
marian_nmt,7,2,Marian NMT (6); transformer-big (Marian-NMT) (1)
meta_llama_3_8b,7,2,Meta-Llama-3-8B (6); META-LLAMA-3-8B (1)
mistral_small,7,2,Mistral-Small (6); Mistral-small (1)
openllama_3b,7,2,OpenLLaMA-3B (5); OpenLlama-3B (2)
phi_3.5_vision_instruct,7,2,Phi-3.5-vision-instruct (4); Phi-3.5-Vision-Instruct (3)
pointer,7,2,POINTER (6); Pointer (1)
qwen_2.5_omni_7b,7,2,Qwen2.5-Omni-7B (6); Qwen 2.5-Omni-7B (1)
resnet_152,7,2,ResNet-152 (5); ResNet152 (2)
starcoder_2_3b,7,2,StarCoder2-3B (6); StarCoder2 3B (1)
transformer_decoder,7,2,Transformer decoder (4); Transformer Decoder (3)
vilt,7,2,ViLT (6); VILT (1)
2018,6,6,Baevski and Auli (2018) transformer (1); Chen and Bansal (2018) (1); Fevry and Phang (2018) (1); Joulin et al. (2018) (1); Liu et al. (2018) (1); Wang and Lee (2018) (1)
"7b,_13b",6,6,"Llama 2 (7B, 13B) (1); Llama 2 Chat (7B, 13B) (1); Orca 2 (7B, 13B) (1); Stable Beluga (7B, 13B) (1); Tulu V2 (7B, 13B) (1); Tulu V2 DPO (7B, 13B) (1)"
llama_3.1_instruct_70b,6,6,LLaMA3.1-Instruct-70B (1); Llama 3.1 Instruct 70B (1); Llama-3.1-Instruct-70B (1); Llama3.1-Instruct 70B (1); Llama3.1-Instruct-70B (1); Llama3.1-instruct-70B (1)
llama_3_instruct_70b,6,5,LLaMA3-Instruct-70B (2); LLaMA 3 Instruct (70B) (1); LLaMA-3-Instruct-70B (1); Llama 3-INSTRUCT (70B) (1); Llama3-Instruct-70B (1)
vicuna_1.5_13b,6,5,Vicuna-1.5-13B (2); Vicuna 1.5 13B (1); Vicuna-1.5-13b (1); Vicuna1.5 13B (1); Vicuna1.5-13B (1)
aya_23_35b,6,4,Aya 23 35B (2); Aya-23-35B (2); Aya-23 35B (1); Aya23-35B (1)
davinci_003,6,4,Davinci-003 (3); DaVinci-003 (1); GPT-3 (davinci-003) (1); davinci-003 (1)
gpt_3_ada,6,4,GPT-3 Ada (2); GPT-3-ada (2); GPT-3 ada (1); GPT-3-Ada (1)
llama_2_7b_base,6,4,Llama2-7B-Base (3); LLaMA2-7B-base (1); Llama 2 7B Base (1); Llama-2-7B-base (1)
llama_3_instruct,6,4,Llama-3-Instruct (3); LLaMA 3-Instruct (1); LLaMA-3-Instruct (1); LLaMA3-instruct (1)
bertext,6,3,BERTEXT (2); BERTExt (2); BertExt (2)
bloom_3b,6,3,BLOOM-3B (4); BLOOM (3B) (1); BLOOM 3B (1)
claude_instant,6,3,Claude-instant (4); Claude Instant (1); Claude-Instant (1)
code_llama_7b,6,3,Code Llama-7B (4); Code Llama 7B (1); Code-Llama-7B (1)
gemini_2.0_flash_lite,6,3,Gemini-2.0-Flash-Lite (3); Gemini 2.0 Flash Lite (2); Gemini 2.0 Flash-Lite (1)
gpt_4o_2024_05_13,6,3,GPT-4o-2024-05-13 (4); GPT-4O-2024-05-13 (1); gpt-4o-2024-05-13 (1)
gpt_neo_125m,6,3,GPT-Neo-125M (3); GPT-Neo 125M (2); GPT-Neo-125m (1)
marian,6,3,Marian (4); Transformer (Marian) (1); Transformer Base (Marian) (1)
mbart_large,6,3,mBART-large (4); mBART LARGE (1); mBART-LARGE (1)
mle,6,3,MLE (4); Maximum Likelihood Estimation (MLE) (1); Seq2Seq (MLE) (1)
nat,6,3,NAT (4); Non-Attentive Tacotron (NAT) (1); Non-autoregressive Transformer (NAT) (1)
phi_3_small,6,3,Phi-3-small (3); Phi-3-Small (2); Phi-3 Small (1)
rule_based,6,3,Rule-based (4); NATURALIZATION (rule-based) (1); RULE-BASED (1)
videollama_2,6,3,VideoLLaMA2 (3); VideoLlama2 (2); VideoLLaMA 2 (1)
alibi,6,2,ALiBi (5); ALibi (1)
bigbird,6,2,BigBird (5); BIGBIRD (1)
biomistral_7b,6,2,BioMistral-7B (5); BIOMISTRAL-7B (1)
bloom_7.1b,6,2,BLOOM-7.1B (5); BLOOM 7.1B (1)
bottomup,6,2,BottomUp (4); BOTTOMUP (2)
cohere,6,2,Cohere (5); COHERE (1)
comet_22,6,2,COMET-22 (5); COMET22 (1)
copy,6,2,Copy (4); COPY (2)
deberta_large,6,2,DeBERTa-large (5); DeBERTa-Large (1)
dexperts,6,2,DExperts (5); DEXPERTS (1)
dialoglm,6,2,DialogLM (5); DIALOGLM (1)
doha,6,2,DoHA (4); DOHA (2)
f_5_tts,6,2,F5-TTS (4); F5 TTS (2)
fudge,6,2,FUDGE (5); Fudge (1)
gemini_pro_1.5,6,2,Gemini Pro 1.5 (3); Gemini-Pro-1.5 (3)
gpt_4_vision,6,2,GPT-4 Vision (3); GPT-4-Vision (3)
grover,6,2,GROVER (4); Grover (2)
internlm_20b,6,2,InternLM-20B (5); InternLM-20b (1)
internvl_3_8b,6,2,InternVL3-8B (5); InternVL3 8B (1)
llama_3.2_11b_vision_instruct,6,2,Llama-3.2-11B-Vision-Instruct (5); LLaMA-3.2-11B-Vision-Instruct (1)
llemma,6,2,Llemma (5); LLemma (1)
magicoder,6,2,Magicoder (4); MagiCoder (2)
matcha,6,2,MatCha (4); MATCHA (2)
mixtral_8×7b,6,2,Mixtral 8×7B (3); Mixtral-8×7B (3)
msp,6,2,MSP (5); MetaSumPerceiver (MSP) (1)
mt_5_xl,6,2,mT5-XL (5); mT5-xl (1)
opus,6,2,OPUS (4); Opus (2)
oracle,6,2,Oracle (4); ORACLE (2)
parrot,6,2,Parrot (4); ParroT (2)
poly_encoder,6,2,Poly-encoder (5); poly-encoder (1)
pythia_70m,6,2,Pythia-70M (4); Pythia-70m (2)
qwen_1.5_72b,6,2,Qwen1.5-72B (4); Qwen-1.5-72B (2)
qwen_2.5_instruct_7b,6,2,Qwen2.5-Instruct-7B (5); Qwen2.5-instruct-7B (1)
qwen_32b,6,2,Qwen-32B (4); Qwen 32B (2)
qwen_3_14b,6,2,Qwen3-14B (4); Qwen-3-14B (2)
qwen_72b_chat,6,2,Qwen-72B-Chat (5); Qwen-72b-chat (1)
qwen_chat_7b,6,2,Qwen-Chat-7B (4); Qwen-chat-7B (2)
simcse,6,2,SimCSE (5); SIMCSE (1)
simpletod,6,2,SimpleTOD (5); SimpleToD (1)
starcoder_2,6,2,StarCoder2 (5); StarCoder-2 (1)
tconvs_2s,6,2,TCONVS2S (5); TConvS2S (1)
toolllama,6,2,ToolLLaMA (4); ToolLlama (2)
unixcoder,6,2,UniXcoder (5); UnixCoder (1)
vall_e,6,2,VALL-E (5); Vall-E (1)
vinvl,6,2,VinVL (5); OSCAR(VinVL) (1)
yi_6b_chat,6,2,Yi-6B-Chat (5); Yi-6B-chat (1)
large,5,5,Flan-T5 (Large) (1); GPT-2 (Large) (1); Make-A-Voice (large) (1); OpenAI Whisper (large) (1); Transformer (large) (1)
flan_palm_540b,5,4,FLAN-PaLM 540B (2); Flan-PaLM 540B (1); Flan-PaLM-540B (1); Flan-PaLM-540b (1)
llama_3.2_90b,5,4,Llama3.2-90B (2); LLaMA-3.2-90B (1); Llama-3.2-90B (1); Llama3.2-90b (1)
llama_4,5,4,Llama-4 (2); LLaMA 4 (1); Llama 4 (1); Llama4 (1)
m_2m_100_1.2b,5,4,M2M-100 (1.2B) (2); M2M-100-1.2B (1); M2M100 1.2B (1); m2m100-1.2B (1)
phi_4_mini_instruct,5,4,Phi-4-mini-instruct (2); Phi-4-Mini-Instruct (1); Phi-4-mini-Instruct (1); phi-4-mini-instruct (1)
whisper_tiny,5,4,Whisper-tiny (2); Whisper Tiny (1); Whisper tiny (1); Whisper-Tiny (1)
bpe,5,3,BPE (3); Byte-Pair-Encoding (BPE) (1); Subword (BPE) model (1)
chrf,5,3,CHRF (2); chrF (2); ChrF (1)
codellama_13b_instruct,5,3,CodeLLaMA-13B-Instruct (2); CodeLlama-13B-Instruct (2); CodeLLaMA-13B Instruct (1)
gpt_4.1_nano,5,3,GPT-4.1-Nano (2); GPT-4.1-nano (2); GPT-4.1 Nano (1)
llama_4_maverick,5,3,Llama 4 Maverick (2); Llama4-Maverick (2); LLaMA-4-Maverick (1)
llama_guard_3_8b,5,3,Llama-Guard-3-8B (3); LLaMA-Guard-3-8B (1); Llama-Guard3-8B (1)
longchat_13b_16k,5,3,LongChat-13B-16K (3); LongChat-13B-16k (1); Longchat-13B-16K (1)
longformer_encoder_decoder,5,3,Longformer Encoder-Decoder (2); Longformer-Encoder-Decoder (2); LED (Longformer-Encoder-Decoder) (1)
meditron_70b,5,3,MEDITRON-70B (2); Meditron-70B (2); Meditron 70B (1)
mpt_30b,5,3,MPT-30B (2); MPT-30b (2); MPT 30B (1)
mpt_7b_instruct,5,3,MPT-7B-Instruct (3); MPT-7B-instruct (1); MPT-7b-Instruct (1)
multi_encoder,5,3,Multi-Encoder (3); Multi-encoder (1); multi-encoder (1)
nmt,5,3,NMT (2); Neural Machine Translation (NMT) (2); Neural Machine Translation (NMT) models (1)
olmo_2_13b,5,3,OLMo 2 13B (2); OLMo-2-13B (2); Olmo-2-13B (1)
palm_2_bison,5,3,PaLM2-Bison (3); PaLM-2 Bison (1); PaLM-2-Bison (1)
phi_3_small_128k_instruct,5,3,Phi-3-small-128k-instruct (3); Phi-3-Small-128K-Instruct (1); Phi-3-small-128k-Instruct (1)
prometheus_2_7b,5,3,Prometheus-2-7B (3); Prometheus 2 (7B) (1); Prometheus 2 7B (1)
qwen_1.5_14b,5,3,Qwen1.5-14B (3); Qwen 1.5 (14B) (1); Qwen-1.5-14B (1)
qwen_1.5_32b_chat,5,3,Qwen-1.5-32B-Chat (3); Qwen1.5-32B-Chat (1); Qwen1.5-32B-chat (1)
qwen_2.5_omni,5,3,Qwen2.5-Omni (3); Qwen 2.5 Omni (1); Qwen-2.5-Omni (1)
sat,5,3,"SAT (3); Show, Attend, and Tell (SAT) (1); Show-Attend-and-Tell (SAT) (1)"
seq_2seq_with_attention,5,3,Seq2Seq with Attention (2); Seq2Seq with attention (2); Seq2seq with attention (1)
transformer_seq_2seq,5,3,Transformer seq2seq (3); Generation model (Transformer seq2seq) (1); Transformer-seq2seq (1)
unicorn,5,3,UNICORN (2); UniCoRN (2); Unicorn (1)
xcomet_xxl,5,3,XCOMET-XXL (2); xCOMET-XXL (2); xCOMET XXL (1)
zephyr_7b_β,5,3,Zephyr-7B-β (3); Zephyr 7B β (1); Zephyr-7b-β (1)
alpaca_lora,5,2,Alpaca-LoRA (4); Alpaca-Lora (1)
aya_8b,5,2,Aya-8B (4); Aya-8b (1)
aya_expanse,5,2,Aya-Expanse (4); Aya Expanse (1)
big,5,2,Transformer (big) (4); Seq2Edits (Big) (1)
bloom_7b_1,5,2,BLOOM-7B1 (4); Bloom-7B1 (1)
bob,5,2,BoB (4); BERT-over-BERT (BoB) (1)
bottom_up,5,2,Bottom-Up (3); Bottom-up (2)
catseqd,5,2,catSeqD (4); CatSeqD (1)
claude_3.7,5,2,Claude-3.7 (3); Claude 3.7 (2)
codestral,5,2,Codestral (3); CodeStral (2)
cometkiwi,5,2,CometKiwi (4); COMETKIWI (1)
deberta_base,5,2,DeBERTa-base (4); DEBERTA-base (1)
deepseek_r_1_32b,5,2,DeepSeek-R1-32B (3); DeepSeek-R1 32B (2)
deepseek_r_1_7b,5,2,DeepSeek-R1-7B (4); DeepSeek R1 7B (1)
deepseekcoder,5,2,DeepSeekCoder (4); DeepseekCoder (1)
df_net,5,2,DF-Net (4); Dynamic Fusion Network (DF-Net) (1)
dipper,5,2,DIPPER (3); Dipper (2)
electra_large,5,2,ELECTRA-large (3); ELECTRA Large (2)
encodec,5,2,EnCodec (3); Encodec (2)
etc,5,2,ETC (4); Extended Transformer Construction (ETC) (1)
eurollm_9b,5,2,EuroLLM-9B (3); EuroLLM 9B (2)
